Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
0.000,1.9670,112.1863,-0.5032,0.0006,0.3073,0.0914,0.0920,1.9905,0.0000,0.0000,0.0000
0.050,2.7887,4.9047,-0.5093,0.0009,0.3056,0.0896,0.0919,1.9720,-9.1588,-0.6068,9.1782
0.100,7.0888,4.8452,-0.5155,0.0011,0.3040,0.0924,0.0921,1.9577,-19.1790,0.4511,19.1835
0.150,13.1882,1.6215,-0.5215,0.0011,0.3025,0.1054,0.0922,1.9471,-22.3879,0.5562,22.3935
0.200,13.0934,1.0392,-0.5274,0.0011,0.3012,0.1294,0.0923,1.9372,-20.9323,0.4529,20.9364
0.250,9.2566,1.5859,-0.5332,0.0011,0.3001,0.1634,0.0924,1.9260,-16.2089,0.4012,16.2134
0.300,5.2716,2.1271,-0.5391,0.0012,0.2991,0.2059,0.0924,1.9128,-5.9737,0.3039,5.9813
0.350,3.9083,3.2409,-0.5450,0.0013,0.2982,0.2555,0.0924,1.8973,-4.0598,0.1511,4.0626
0.400,5.4827,2.4784,-0.5509,0.0014,0.2975,0.3109,0.0923,1.8800,-6.1160,0.1411,6.1176
0.450,7.5678,6.9150,-0.5568,0.0015,0.2969,0.3709,0.0922,1.8610,8.2087,0.2372,8.2120
0.500,9.3765,3.1007,-0.5626,0.0017,0.2964,0.4343,0.0921,1.8409,34.6866,-0.2616,34.6872
0.550,10.9306,2.4906,-0.5684,0.0018,0.2959,0.5000,0.0920,1.8196,47.0371,1.2570,47.0431
0.600,10.3913,2.9521,-0.5743,0.0020,0.2955,0.5670,0.0919,1.7975,48.3097,-3.5958,48.3542
0.650,8.8047,2.6848,-0.5801,0.0022,0.2952,0.6344,0.0918,1.7746,47.3204,2.7383,47.3481
0.700,6.7543,2.4772,-0.5859,0.0023,0.2949,0.7012,0.0917,1.7509,42.7824,4.7153,42.8954
0.750,5.2749,2.5855,-0.5918,0.0025,0.2947,0.7667,0.0916,1.7265,34.8145,0.3199,34.8154
0.800,5.1930,2.2259,-0.5976,0.0026,0.2945,0.8302,0.0914,1.7014,25.2645,-2.6772,25.3726
0.850,5.7330,5.2100,-0.6034,0.0028,0.2943,0.8912,0.0913,1.6756,23.2287,-4.8594,23.6310
0.900,6.3970,8.2793,-0.6090,0.0030,0.2941,0.9490,0.0911,1.6493,23.8571,0.6294,23.8637
0.950,9.1852,12.2074,-0.6147,0.0032,0.2940,1.0035,0.0910,1.6224,20.3320,0.5844,20.3390
1.000,14.1607,14.1601,-0.6204,0.0034,0.2939,1.0541,0.0908,1.5951,25.1610,3.3333,25.3296
1.050,15.4744,13.0173,-0.6260,0.0036,0.2938,1.1008,0.0906,1.5674,31.0841,3.0944,31.1856
