Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),Angulo_EixoX_rover(graus),Angulo_EixoY_rover(graus),Angulo_EixoZ_rover(graus),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
0.000,1.9662,84.3185,-0.4971,0.0003,0.3073,5.7174,0.1831,5.7203,0.0919,0.0919,1.9885,0.0000,-0.0000,0.0000
0.050,1.0413,1.4004,-0.4914,0.0006,0.3054,0.9672,-0.1841,0.9845,0.0919,0.0919,1.9505,0.0000,0.0000,0.0000
0.100,11.6102,1.8270,-0.4855,0.0007,0.3037,-0.1770,-0.0110,0.1773,0.0919,0.0923,1.8918,0.0020,0.0623,0.0623
0.150,23.7402,1.3574,-0.4797,0.0008,0.3022,-0.2131,0.0400,0.2168,0.0919,0.0924,1.8278,0.0195,-2.7777,2.7778
0.200,28.4839,1.6916,-0.4739,0.0009,0.3009,-0.1123,0.0278,0.1157,0.0919,0.0924,1.7610,0.0997,-3.1646,3.1662
0.250,28.8283,1.8613,-0.4681,0.0010,0.2998,-0.0846,0.0129,0.0855,0.0919,0.0925,1.6924,-1.0912,-3.5914,3.7527
0.300,26.2401,1.8573,-0.4623,0.0011,0.2988,-0.2204,0.0164,0.2210,0.0919,0.0928,1.6229,3.8944,-4.2351,5.7439
0.350,23.6623,2.2562,-0.4565,0.0012,0.2980,-0.4092,0.0298,0.4102,0.0919,0.0937,1.5524,1.0390,-4.5468,4.6630
0.400,22.7895,2.8582,-0.4507,0.0012,0.2973,-0.5322,0.0260,0.5328,0.0918,0.0955,1.4808,-10.4237,-5.8506,11.8914
0.450,14.8418,4.1018,-0.4449,0.0013,0.2967,-0.8336,0.0252,0.8340,0.0918,0.1007,1.4050,-12.5671,-5.8523,13.7857
0.500,1.3023,4.4392,-0.4390,0.0013,0.2962,-0.6842,0.0151,0.6843,0.0916,0.1073,1.3061,-7.4518,-1.8110,7.6639
0.550,0.0789,7.1770,-0.4332,0.0013,0.2957,-0.7765,-0.0463,0.7778,0.0917,0.1139,1.1817,-0.2129,-1.3067,1.3239
0.600,0.9917,10.1682,-0.4274,0.0013,0.2953,-0.5214,-0.0939,0.5298,0.0917,0.1204,1.0327,14.2196,0.6563,14.2335
0.650,1.2016,6.8403,-0.4216,0.0013,0.2949,-0.5897,-0.0785,0.5949,0.0914,0.1265,0.8593,27.8473,-11.0694,29.3950
0.700,2.1981,5.4097,-0.4157,0.0013,0.2946,-1.0843,-0.1656,1.0969,0.0909,0.1322,0.6615,46.4382,-9.8930,46.8263
0.750,3.6370,4.5292,-0.4098,0.0013,0.2943,-0.9716,-0.0005,0.9716,0.0901,0.1370,0.4380,28.5944,-7.8820,29.3532
0.800,5.2603,3.7065,-0.4034,0.0014,0.2936,-0.6963,0.1349,0.7092,0.0603,0.1224,0.1968,65.3787,18.5775,65.6322
0.850,23.7703,4.6335,-0.3974,0.0018,0.2935,-0.5912,0.0473,0.5931,-0.0539,0.0865,0.0891,161.4314,153.6387,149.0915
0.900,9.6308,5.7060,-0.3918,0.0020,0.2936,-0.5470,-0.0030,0.5470,-0.0873,0.0650,0.0755,176.9766,154.8090,154.6705
0.950,2.2339,4.6783,-0.3860,0.0016,0.2936,-0.3754,-0.0108,0.3756,-0.0785,0.0544,0.0656,-160.0147,153.9864,148.6740
1.000,3.9468,3.6881,-0.3801,0.0014,0.2934,-0.3148,-0.0407,0.3174,-0.0522,0.0544,0.0559,-111.8372,111.4097,105.6557
1.050,0.4582,3.7675,-0.3742,0.0013,0.2934,-0.4539,-0.0575,0.4575,-0.0574,0.0663,0.0141,-86.6038,-21.0550,86.6047
1.100,1.7530,4.0194,-0.3684,0.0012,0.2933,-0.5620,-0.0674,0.5660,-0.0578,0.0652,0.0158,-62.2014,-34.2767,63.6117
1.150,1.3745,4.1484,-0.3626,0.0011,0.2932,-0.5685,-0.0517,0.5708,-0.0572,0.0662,0.0137,-65.7704,-66.6382,72.6913
1.200,0.6302,4.2939,-0.3567,0.0010,0.2932,-0.5395,-0.0417,0.5411,-0.0572,0.0662,0.0140,-55.1288,-63.5118,67.9350
1.250,0.9154,4.4413,-0.3509,0.0009,0.2931,-0.5314,-0.0542,0.5342,-0.0572,0.0662,0.0140,-38.9546,-65.7516,67.0598
1.300,0.8563,4.4162,-0.3451,0.0008,0.2931,-0.4785,-0.0314,0.4796,-0.0572,0.0661,0.0140,-19.8494,-66.0299,66.2992
