Tempo(s),Tensao_Drone(N),Tensao_Origem(N),PosX(m),PosY(m),PosZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
0.000,2.7294,7.9393,0.0911,0.0919,1.9911,0.0000,0.0000,0.0000
0.050,3.4949,7.1022,0.0884,0.0919,1.9767,-10.6291,-0.0837,10.6294
0.100,4.3568,6.9619,0.0929,0.0919,1.9730,-22.4281,-0.0148,22.4281
0.150,4.7211,5.8998,0.1121,0.0919,1.9781,-24.3430,-0.0231,24.3430
0.200,5.1236,4.8520,0.1468,0.0919,1.9877,-19.9231,-0.0377,19.9231
0.250,6.1072,4.1713,0.1947,0.0919,1.9995,-13.3112,-0.0464,13.3113
0.300,7.3985,3.4249,0.2534,0.0919,2.0125,-6.6235,-0.0424,6.6236
0.350,8.7808,2.2450,0.3206,0.0920,2.0267,-0.5141,-0.0315,0.5150
0.400,10.3260,0.6224,0.3941,0.0920,2.0424,4.9468,-0.0177,4.9468
0.450,12.1288,1.3108,0.4718,0.0921,2.0599,9.7337,-0.0087,9.7337
0.500,14.1819,3.4645,0.5516,0.0922,2.0792,13.9269,-0.0087,13.9269
0.550,16.4124,5.7744,0.6316,0.0922,2.1002,17.5191,-0.0146,17.5191
0.600,18.7499,8.1960,0.7099,0.0923,2.1225,20.5778,-0.0693,20.5779
0.650,21.0194,11.6816,0.7848,0.0923,2.1458,23.1115,-0.0065,23.1115
0.700,24.0429,18.7799,0.8549,0.0924,2.1695,25.1909,-0.0597,25.1910
0.750,30.7079,22.0567,0.9187,0.0925,2.1931,27.0030,-0.0454,27.0030
0.800,36.0581,25.1715,0.9753,0.0926,2.2162,29.3747,-0.0137,29.3747
0.850,37.8468,28.7976,1.0237,0.0927,2.2382,28.9647,0.0039,28.9647
0.900,38.8716,31.4388,1.0632,0.0928,2.2589,43.4171,0.0387,43.4171
0.950,42.7019,32.9701,1.0934,0.0929,2.2780,50.7243,0.0807,50.7243
1.000,45.0930,36.0853,1.1140,0.0930,2.2954,51.8316,0.0987,51.8316
1.050,46.5412,38.8591,1.1248,0.0931,2.3111,49.7215,0.0931,49.7215
1.100,48.1693,39.8729,1.1259,0.0932,2.3251,45.9241,0.0851,45.9241
1.150,49.6519,41.8652,1.1175,0.0933,2.3377,41.7402,0.0837,41.7403
1.200,50.5783,43.0294,1.0998,0.0933,2.3491,38.6265,0.0826,38.6265
